"","year","month","day","date","reg_season","mode"
"1",1980,1,1,1980-01-01,"open","Private"
"2",1980,1,2,1980-01-02,"open","Private"
"3",1980,1,3,1980-01-03,"open","Private"
"4",1980,1,4,1980-01-04,"open","Private"
"5",1980,1,5,1980-01-05,"open","Private"
"6",1980,1,6,1980-01-06,"open","Private"
"7",1980,1,7,1980-01-07,"open","Private"
"8",1980,1,8,1980-01-08,"open","Private"
"9",1980,1,9,1980-01-09,"open","Private"
"10",1980,1,10,1980-01-10,"open","Private"
"11",1980,1,11,1980-01-11,"open","Private"
"12",1980,1,12,1980-01-12,"open","Private"
"13",1980,1,13,1980-01-13,"open","Private"
"14",1980,1,14,1980-01-14,"open","Private"
"15",1980,1,15,1980-01-15,"open","Private"
"16",1980,1,16,1980-01-16,"open","Private"
"17",1980,1,17,1980-01-17,"open","Private"
"18",1980,1,18,1980-01-18,"open","Private"
"19",1980,1,19,1980-01-19,"open","Private"
"20",1980,1,20,1980-01-20,"open","Private"
"21",1980,1,21,1980-01-21,"open","Private"
"22",1980,1,22,1980-01-22,"open","Private"
"23",1980,1,23,1980-01-23,"open","Private"
"24",1980,1,24,1980-01-24,"open","Private"
"25",1980,1,25,1980-01-25,"open","Private"
"26",1980,1,26,1980-01-26,"open","Private"
"27",1980,1,27,1980-01-27,"open","Private"
"28",1980,1,28,1980-01-28,"open","Private"
"29",1980,1,29,1980-01-29,"open","Private"
"30",1980,1,30,1980-01-30,"open","Private"
"31",1980,1,31,1980-01-31,"open","Private"
"32",1980,2,1,1980-02-01,"open","Private"
"33",1980,2,2,1980-02-02,"open","Private"
"34",1980,2,3,1980-02-03,"open","Private"
"35",1980,2,4,1980-02-04,"open","Private"
"36",1980,2,5,1980-02-05,"open","Private"
"37",1980,2,6,1980-02-06,"open","Private"
"38",1980,2,7,1980-02-07,"open","Private"
"39",1980,2,8,1980-02-08,"open","Private"
"40",1980,2,9,1980-02-09,"open","Private"
"41",1980,2,10,1980-02-10,"open","Private"
"42",1980,2,11,1980-02-11,"open","Private"
"43",1980,2,12,1980-02-12,"open","Private"
"44",1980,2,13,1980-02-13,"open","Private"
"45",1980,2,14,1980-02-14,"open","Private"
"46",1980,2,15,1980-02-15,"open","Private"
"47",1980,2,16,1980-02-16,"open","Private"
"48",1980,2,17,1980-02-17,"open","Private"
"49",1980,2,18,1980-02-18,"open","Private"
"50",1980,2,19,1980-02-19,"open","Private"
"51",1980,2,20,1980-02-20,"open","Private"
"52",1980,2,21,1980-02-21,"open","Private"
"53",1980,2,22,1980-02-22,"open","Private"
"54",1980,2,23,1980-02-23,"open","Private"
"55",1980,2,24,1980-02-24,"open","Private"
"56",1980,2,25,1980-02-25,"open","Private"
"57",1980,2,26,1980-02-26,"open","Private"
"58",1980,2,27,1980-02-27,"open","Private"
"59",1980,2,28,1980-02-28,"open","Private"
"60",1980,2,29,1980-02-29,"open","Private"
"61",1980,3,1,1980-03-01,"open","Private"
"62",1980,3,2,1980-03-02,"open","Private"
"63",1980,3,3,1980-03-03,"open","Private"
"64",1980,3,4,1980-03-04,"open","Private"
"65",1980,3,5,1980-03-05,"open","Private"
"66",1980,3,6,1980-03-06,"open","Private"
"67",1980,3,7,1980-03-07,"open","Private"
"68",1980,3,8,1980-03-08,"open","Private"
"69",1980,3,9,1980-03-09,"open","Private"
"70",1980,3,10,1980-03-10,"open","Private"
"71",1980,3,11,1980-03-11,"open","Private"
"72",1980,3,12,1980-03-12,"open","Private"
"73",1980,3,13,1980-03-13,"open","Private"
"74",1980,3,14,1980-03-14,"open","Private"
"75",1980,3,15,1980-03-15,"open","Private"
"76",1980,3,16,1980-03-16,"open","Private"
"77",1980,3,17,1980-03-17,"open","Private"
"78",1980,3,18,1980-03-18,"open","Private"
"79",1980,3,19,1980-03-19,"open","Private"
"80",1980,3,20,1980-03-20,"open","Private"
"81",1980,3,21,1980-03-21,"open","Private"
"82",1980,3,22,1980-03-22,"open","Private"
"83",1980,3,23,1980-03-23,"open","Private"
"84",1980,3,24,1980-03-24,"open","Private"
"85",1980,3,25,1980-03-25,"open","Private"
"86",1980,3,26,1980-03-26,"open","Private"
"87",1980,3,27,1980-03-27,"open","Private"
"88",1980,3,28,1980-03-28,"open","Private"
"89",1980,3,29,1980-03-29,"open","Private"
"90",1980,3,30,1980-03-30,"open","Private"
"91",1980,3,31,1980-03-31,"open","Private"
"92",1980,4,1,1980-04-01,"open","Private"
"93",1980,4,2,1980-04-02,"open","Private"
"94",1980,4,3,1980-04-03,"open","Private"
"95",1980,4,4,1980-04-04,"open","Private"
"96",1980,4,5,1980-04-05,"open","Private"
"97",1980,4,6,1980-04-06,"open","Private"
"98",1980,4,7,1980-04-07,"open","Private"
"99",1980,4,8,1980-04-08,"open","Private"
"100",1980,4,9,1980-04-09,"open","Private"
"101",1980,4,10,1980-04-10,"open","Private"
"102",1980,4,11,1980-04-11,"open","Private"
"103",1980,4,12,1980-04-12,"open","Private"
"104",1980,4,13,1980-04-13,"open","Private"
"105",1980,4,14,1980-04-14,"open","Private"
"106",1980,4,15,1980-04-15,"open","Private"
"107",1980,4,16,1980-04-16,"open","Private"
"108",1980,4,17,1980-04-17,"open","Private"
"109",1980,4,18,1980-04-18,"open","Private"
"110",1980,4,19,1980-04-19,"open","Private"
"111",1980,4,20,1980-04-20,"open","Private"
"112",1980,4,21,1980-04-21,"open","Private"
"113",1980,4,22,1980-04-22,"open","Private"
"114",1980,4,23,1980-04-23,"open","Private"
"115",1980,4,24,1980-04-24,"open","Private"
"116",1980,4,25,1980-04-25,"open","Private"
"117",1980,4,26,1980-04-26,"open","Private"
"118",1980,4,27,1980-04-27,"open","Private"
"119",1980,4,28,1980-04-28,"open","Private"
"120",1980,4,29,1980-04-29,"open","Private"
"121",1980,4,30,1980-04-30,"open","Private"
"122",1980,5,1,1980-05-01,"open","Private"
"123",1980,5,2,1980-05-02,"open","Private"
"124",1980,5,3,1980-05-03,"open","Private"
"125",1980,5,4,1980-05-04,"open","Private"
"126",1980,5,5,1980-05-05,"open","Private"
"127",1980,5,6,1980-05-06,"open","Private"
"128",1980,5,7,1980-05-07,"open","Private"
"129",1980,5,8,1980-05-08,"open","Private"
"130",1980,5,9,1980-05-09,"open","Private"
"131",1980,5,10,1980-05-10,"open","Private"
"132",1980,5,11,1980-05-11,"open","Private"
"133",1980,5,12,1980-05-12,"open","Private"
"134",1980,5,13,1980-05-13,"open","Private"
"135",1980,5,14,1980-05-14,"open","Private"
"136",1980,5,15,1980-05-15,"open","Private"
"137",1980,5,16,1980-05-16,"open","Private"
"138",1980,5,17,1980-05-17,"open","Private"
"139",1980,5,18,1980-05-18,"open","Private"
"140",1980,5,19,1980-05-19,"open","Private"
"141",1980,5,20,1980-05-20,"open","Private"
"142",1980,5,21,1980-05-21,"open","Private"
"143",1980,5,22,1980-05-22,"open","Private"
"144",1980,5,23,1980-05-23,"open","Private"
"145",1980,5,24,1980-05-24,"open","Private"
"146",1980,5,25,1980-05-25,"open","Private"
"147",1980,5,26,1980-05-26,"open","Private"
"148",1980,5,27,1980-05-27,"open","Private"
"149",1980,5,28,1980-05-28,"open","Private"
"150",1980,5,29,1980-05-29,"open","Private"
"151",1980,5,30,1980-05-30,"open","Private"
"152",1980,5,31,1980-05-31,"open","Private"
"153",1980,6,1,1980-06-01,"open","Private"
"154",1980,6,2,1980-06-02,"open","Private"
"155",1980,6,3,1980-06-03,"open","Private"
"156",1980,6,4,1980-06-04,"open","Private"
"157",1980,6,5,1980-06-05,"open","Private"
"158",1980,6,6,1980-06-06,"open","Private"
"159",1980,6,7,1980-06-07,"open","Private"
"160",1980,6,8,1980-06-08,"open","Private"
"161",1980,6,9,1980-06-09,"open","Private"
"162",1980,6,10,1980-06-10,"open","Private"
"163",1980,6,11,1980-06-11,"open","Private"
"164",1980,6,12,1980-06-12,"open","Private"
"165",1980,6,13,1980-06-13,"open","Private"
"166",1980,6,14,1980-06-14,"open","Private"
"167",1980,6,15,1980-06-15,"open","Private"
"168",1980,6,16,1980-06-16,"open","Private"
"169",1980,6,17,1980-06-17,"open","Private"
"170",1980,6,18,1980-06-18,"open","Private"
"171",1980,6,19,1980-06-19,"open","Private"
"172",1980,6,20,1980-06-20,"open","Private"
"173",1980,6,21,1980-06-21,"open","Private"
"174",1980,6,22,1980-06-22,"open","Private"
"175",1980,6,23,1980-06-23,"open","Private"
"176",1980,6,24,1980-06-24,"open","Private"
"177",1980,6,25,1980-06-25,"open","Private"
"178",1980,6,26,1980-06-26,"open","Private"
"179",1980,6,27,1980-06-27,"open","Private"
"180",1980,6,28,1980-06-28,"open","Private"
"181",1980,6,29,1980-06-29,"open","Private"
"182",1980,6,30,1980-06-30,"open","Private"
"183",1980,7,1,1980-07-01,"open","Private"
"184",1980,7,2,1980-07-02,"open","Private"
"185",1980,7,3,1980-07-03,"open","Private"
"186",1980,7,4,1980-07-04,"open","Private"
"187",1980,7,5,1980-07-05,"open","Private"
"188",1980,7,6,1980-07-06,"open","Private"
"189",1980,7,7,1980-07-07,"open","Private"
"190",1980,7,8,1980-07-08,"open","Private"
"191",1980,7,9,1980-07-09,"open","Private"
"192",1980,7,10,1980-07-10,"open","Private"
"193",1980,7,11,1980-07-11,"open","Private"
"194",1980,7,12,1980-07-12,"open","Private"
"195",1980,7,13,1980-07-13,"open","Private"
"196",1980,7,14,1980-07-14,"open","Private"
"197",1980,7,15,1980-07-15,"open","Private"
"198",1980,7,16,1980-07-16,"open","Private"
"199",1980,7,17,1980-07-17,"open","Private"
"200",1980,7,18,1980-07-18,"open","Private"
"201",1980,7,19,1980-07-19,"open","Private"
"202",1980,7,20,1980-07-20,"open","Private"
"203",1980,7,21,1980-07-21,"open","Private"
"204",1980,7,22,1980-07-22,"open","Private"
"205",1980,7,23,1980-07-23,"open","Private"
"206",1980,7,24,1980-07-24,"open","Private"
"207",1980,7,25,1980-07-25,"open","Private"
"208",1980,7,26,1980-07-26,"open","Private"
"209",1980,7,27,1980-07-27,"open","Private"
"210",1980,7,28,1980-07-28,"open","Private"
"211",1980,7,29,1980-07-29,"open","Private"
"212",1980,7,30,1980-07-30,"open","Private"
"213",1980,7,31,1980-07-31,"open","Private"
"214",1980,8,1,1980-08-01,"open","Private"
"215",1980,8,2,1980-08-02,"open","Private"
"216",1980,8,3,1980-08-03,"open","Private"
"217",1980,8,4,1980-08-04,"open","Private"
"218",1980,8,5,1980-08-05,"open","Private"
"219",1980,8,6,1980-08-06,"open","Private"
"220",1980,8,7,1980-08-07,"open","Private"
"221",1980,8,8,1980-08-08,"open","Private"
"222",1980,8,9,1980-08-09,"open","Private"
"223",1980,8,10,1980-08-10,"open","Private"
"224",1980,8,11,1980-08-11,"open","Private"
"225",1980,8,12,1980-08-12,"open","Private"
"226",1980,8,13,1980-08-13,"open","Private"
"227",1980,8,14,1980-08-14,"open","Private"
"228",1980,8,15,1980-08-15,"open","Private"
"229",1980,8,16,1980-08-16,"open","Private"
"230",1980,8,17,1980-08-17,"open","Private"
"231",1980,8,18,1980-08-18,"open","Private"
"232",1980,8,19,1980-08-19,"open","Private"
"233",1980,8,20,1980-08-20,"open","Private"
"234",1980,8,21,1980-08-21,"open","Private"
"235",1980,8,22,1980-08-22,"open","Private"
"236",1980,8,23,1980-08-23,"open","Private"
"237",1980,8,24,1980-08-24,"open","Private"
"238",1980,8,25,1980-08-25,"open","Private"
"239",1980,8,26,1980-08-26,"open","Private"
"240",1980,8,27,1980-08-27,"open","Private"
"241",1980,8,28,1980-08-28,"open","Private"
"242",1980,8,29,1980-08-29,"open","Private"
"243",1980,8,30,1980-08-30,"open","Private"
"244",1980,8,31,1980-08-31,"open","Private"
"245",1980,9,1,1980-09-01,"open","Private"
"246",1980,9,2,1980-09-02,"open","Private"
"247",1980,9,3,1980-09-03,"open","Private"
"248",1980,9,4,1980-09-04,"open","Private"
"249",1980,9,5,1980-09-05,"open","Private"
"250",1980,9,6,1980-09-06,"open","Private"
"251",1980,9,7,1980-09-07,"open","Private"
"252",1980,9,8,1980-09-08,"open","Private"
"253",1980,9,9,1980-09-09,"open","Private"
"254",1980,9,10,1980-09-10,"open","Private"
"255",1980,9,11,1980-09-11,"open","Private"
"256",1980,9,12,1980-09-12,"open","Private"
"257",1980,9,13,1980-09-13,"open","Private"
"258",1980,9,14,1980-09-14,"open","Private"
"259",1980,9,15,1980-09-15,"open","Private"
"260",1980,9,16,1980-09-16,"open","Private"
"261",1980,9,17,1980-09-17,"open","Private"
"262",1980,9,18,1980-09-18,"open","Private"
"263",1980,9,19,1980-09-19,"open","Private"
"264",1980,9,20,1980-09-20,"open","Private"
"265",1980,9,21,1980-09-21,"open","Private"
"266",1980,9,22,1980-09-22,"open","Private"
"267",1980,9,23,1980-09-23,"open","Private"
"268",1980,9,24,1980-09-24,"open","Private"
"269",1980,9,25,1980-09-25,"open","Private"
"270",1980,9,26,1980-09-26,"open","Private"
"271",1980,9,27,1980-09-27,"open","Private"
"272",1980,9,28,1980-09-28,"open","Private"
"273",1980,9,29,1980-09-29,"open","Private"
"274",1980,9,30,1980-09-30,"open","Private"
"275",1980,10,1,1980-10-01,"open","Private"
"276",1980,10,2,1980-10-02,"open","Private"
"277",1980,10,3,1980-10-03,"open","Private"
"278",1980,10,4,1980-10-04,"open","Private"
"279",1980,10,5,1980-10-05,"open","Private"
"280",1980,10,6,1980-10-06,"open","Private"
"281",1980,10,7,1980-10-07,"open","Private"
"282",1980,10,8,1980-10-08,"open","Private"
"283",1980,10,9,1980-10-09,"open","Private"
"284",1980,10,10,1980-10-10,"open","Private"
"285",1980,10,11,1980-10-11,"open","Private"
"286",1980,10,12,1980-10-12,"open","Private"
"287",1980,10,13,1980-10-13,"open","Private"
"288",1980,10,14,1980-10-14,"open","Private"
"289",1980,10,15,1980-10-15,"open","Private"
"290",1980,10,16,1980-10-16,"open","Private"
"291",1980,10,17,1980-10-17,"open","Private"
"292",1980,10,18,1980-10-18,"open","Private"
"293",1980,10,19,1980-10-19,"open","Private"
"294",1980,10,20,1980-10-20,"open","Private"
"295",1980,10,21,1980-10-21,"open","Private"
"296",1980,10,22,1980-10-22,"open","Private"
"297",1980,10,23,1980-10-23,"open","Private"
"298",1980,10,24,1980-10-24,"open","Private"
"299",1980,10,25,1980-10-25,"open","Private"
"300",1980,10,26,1980-10-26,"open","Private"
"301",1980,10,27,1980-10-27,"open","Private"
"302",1980,10,28,1980-10-28,"open","Private"
"303",1980,10,29,1980-10-29,"open","Private"
"304",1980,10,30,1980-10-30,"open","Private"
"305",1980,10,31,1980-10-31,"open","Private"
"306",1980,11,1,1980-11-01,"open","Private"
"307",1980,11,2,1980-11-02,"open","Private"
"308",1980,11,3,1980-11-03,"open","Private"
"309",1980,11,4,1980-11-04,"open","Private"
"310",1980,11,5,1980-11-05,"open","Private"
"311",1980,11,6,1980-11-06,"open","Private"
"312",1980,11,7,1980-11-07,"open","Private"
"313",1980,11,8,1980-11-08,"open","Private"
"314",1980,11,9,1980-11-09,"open","Private"
"315",1980,11,10,1980-11-10,"open","Private"
"316",1980,11,11,1980-11-11,"open","Private"
"317",1980,11,12,1980-11-12,"open","Private"
"318",1980,11,13,1980-11-13,"open","Private"
"319",1980,11,14,1980-11-14,"open","Private"
"320",1980,11,15,1980-11-15,"open","Private"
"321",1980,11,16,1980-11-16,"open","Private"
"322",1980,11,17,1980-11-17,"open","Private"
"323",1980,11,18,1980-11-18,"open","Private"
"324",1980,11,19,1980-11-19,"open","Private"
"325",1980,11,20,1980-11-20,"open","Private"
"326",1980,11,21,1980-11-21,"open","Private"
"327",1980,11,22,1980-11-22,"open","Private"
"328",1980,11,23,1980-11-23,"open","Private"
"329",1980,11,24,1980-11-24,"open","Private"
"330",1980,11,25,1980-11-25,"open","Private"
"331",1980,11,26,1980-11-26,"open","Private"
"332",1980,11,27,1980-11-27,"open","Private"
