YEAR,MONTH,WAVE,SUB_REG,NEW_STA,FL_REG,NC_REG,MODE_FX,NEW_MODEN,AREA_X,SP_CODE,WGT_AB1C,WGT_AB1H,ALT_FLAG,CHTS_CL,CHTS_H,CHTS_RL,CHTS_VAR_CL,CHTS_VAR_H,CHTS_VAR_RL,CHTS_WAB1C,CHTS_WAB1H,AB1,B2,A,B1,NEW_SCI,NEW_COM,VAR_B2,VAR_AB1,NEW_ST,NEW_MODE,NEW_AREAN,DS,SA_LABEL,GOM_LABEL,ITIS_CODE,SPECIES_CODE,SPECIES,AVGWGT_SRYSMWA,NUMWGT_SRYSMWA,AVGWGT_SRYSMW,NUMWGT_SRYSMW,AVGWGT_SRYSM,NUMWGT_SRYSM,AVGWGT_SRYS,NUMWGT_SRYS,AVGWGT_SRY,NUMWGT_SRY,AVGWGT_SR,NUMWGT_SR,AVGWGT_S,NUMWGT_S,LBSEST_SECSOURCE,MIGRA_GRP,AREA,FIRSTMON,LASTMON,AGGR_AREA,SEASON,NEW_SEASN,AGG_MODEN,JURISDICTION,PS_REG,COUNCILREG,GFMC_FMP,SAFMC_FMU,lbsest_SECwwt,lbsest_SECgwt,LA_B2ratio,TX_B2ratio,Gulf,fed_closed,SID
1981,0,2,7,AL,,,5,Cbt,2,8835360107,1340000.8859400901,616663.66398121696,0,32237.92122,13008.284,0,620715083,118066751.6,0,27136.13365,12487.95264,37936,0,979386.5207,395191.0522,Lutjanus campechanus,red snapper,0,0,4,3,Ocean>3mi,MRIP,Snapper Grouper,Reef Fish,,,,1.73858975,33,1.73858975,33,4.138101927,90,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysmwa,,,,,,,,For-Hire,Federal,7,7,Y,,65955.14075,59419.04572,,,Central,0,Central
1981,0,3,7,AL,,,5,Cbt,1,8835360107,16285.8349189072,0,0,884.0095876,0,0,819371.9803,0,0,6472.213052,0,1368.498026,0,1368.498026,0,Lutjanus campechanus,red snapper,0,0,4,3,Ocean<=3mi,MRIP,Snapper Grouper,Reef Fish,,,,16.14082143,14,5.527293187,57,4.138101927,90,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysmw,,,,,,,,For-Hire,State,7,7,Y,,7564.089818,6814.495332,,,Central,0,Central
1981,0,3,7,AL,,,5,Cbt,2,8835360107,11548.9938402639,2041.5623407881201,0,4899.573688,1066.418343,145.3213191,37394565.58,1065834.899,30074.36288,4589.727763,811.3447357,9235.7011,224.9658162,7584.823759,1650.877342,Lutjanus campechanus,red snapper,0,0,4,3,Ocean>3mi,MRIP,Snapper Grouper,Reef Fish,,,,2.071725853,43,5.527293187,57,4.138101927,90,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysmwa,,,,,,,,For-Hire,Federal,7,7,Y,,19133.84074,17237.69436,,,Central,0,Central
1981,0,2,7,AL,,,4,Hbt,2,8835360107,1340000.8859400901,616663.66398121696,0,32237.92122,13008.284,0,620715083,118066751.6,0,27136.13365,12487.95264,24546,0,612544.1336,247166.9311,Lutjanus campechanus,red snapper,0,0,4,2,Ocean>3mi,MRIP,Snapper Grouper,Reef Fish,,,,,,,,2.33857874,41,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysm,,,,,,,,For-Hire,Federal,7,7,Y,,57402.75375,51714.19257,,,Central,0,Central
1981,0,3,7,AL,,,4,Hbt,1,8835360107,16285.8349189072,0,0,884.0095876,0,0,819371.9803,0,0,6472.213052,0,855.9086941,0,855.9086941,0,Lutjanus campechanus,red snapper,0,0,4,2,Ocean<=3mi,MRIP,Snapper Grouper,Reef Fish,,,,,,2.33857874,41,2.33857874,41,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysmw,,,,,,,,For-Hire,State,7,7,Y,,2001.609875,1803.25214,,,Central,0,Central
1981,0,3,7,AL,,,4,Hbt,2,8835360107,11548.9938402639,2041.5623407881201,0,4899.573688,1066.418343,145.3213191,37394565.58,1065834.899,30074.36288,4589.727763,811.3447357,5776.345099,140.7018455,4743.826058,1032.519041,Lutjanus campechanus,red snapper,0,0,4,2,Ocean>3mi,MRIP,Snapper Grouper,Reef Fish,,,,2.33857874,41,2.33857874,41,2.33857874,41,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysmwa,,,,,,,,For-Hire,Federal,7,7,Y,,13508.43784,12169.76382,,,Central,0,Central
1981,0,2,7,AL,,,7,Priv,2,8835360107,258531.20432490099,0,0,0,0,0,0,0,0,0,0,205183.4955,0,205183.4955,0,Lutjanus campechanus,red snapper,0,22828230949,4,4,Ocean>3mi,MRIP,Snapper Grouper,Reef Fish,,,,2.777796,5,2.777796,5,1.884459485,77,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysm,,,,,,,,Private,Federal,7,7,Y,,386659.9842,348342.3281,,,Central,0,Central
1981,0,4,7,AL,,,7,Priv,2,8835360107,45327.292531824001,0,0,0,0,0,0,0,0,0,0,52361.58198,0,52361.58198,0,Lutjanus campechanus,red snapper,0,1857420145,4,4,Ocean>3mi,MRIP,Snapper Grouper,Reef Fish,,,,1.908432582,14,1.908432582,14,1.884459485,77,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysm,,,,,,,,Private,Federal,7,7,Y,,98673.27978,88894.84665,,,Central,0,Central
1981,0,5,7,AL,,,7,Priv,1,8835360107,746647.388502102,0,0,0,0,0,0,0,0,0,0,793618.2471,84000.92673,793618.2471,0,Lutjanus campechanus,red snapper,8328525666,7.01729E+11,4,4,Ocean<=3mi,MRIP,Snapper Grouper,Reef Fish,,,,1.741573434,28,1.741573434,28,1.884459485,77,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysmwa,,,,,,,,Private,State,7,7,Y,,1382144.456,1245175.185,,,Central,0,Central
1981,0,6,7,AL,,,7,Priv,1,8835360107,367423.27218946,0,0,0,0,0,0,0,0,0,0,464696.7369,0,464696.7369,0,Lutjanus campechanus,red snapper,0,4444585267,4,4,Ocean<=3mi,MRIP,Snapper Grouper,Reef Fish,,,,1.857742933,30,1.857742933,30,1.884459485,77,2.949107125,208,2.725563509,561,4.684065526,187251,4.713642505,193583,srysmwa,,,,,,,,Private,State,7,7,Y,,863287.0792,777736.1074,,,Central,0,Central
