"YEAR","Cbt_Open_Central","Cbt_Open_East","Cbt_Open_West","Cbt_Closed_Central","Cbt_Closed_East","Cbt_Closed_West"
1981,487.991402609497,0,0,0,0,0
1982,7736.25038264404,395.580505778651,13003.1962020484,0,0,0
1983,0,0,1526.48793680124,0,0,0
1984,3784.10088893613,3594.134986362,7.32622561800075,0,0,0
1985,2285.27731831448,1006.9793705009,26.8589513877193,0,0,0
1986,7324.52271880036,17128.3991422261,2565.82242033832,0,0,0
1987,42598.0602613138,1641.64436791504,1802.3484253989,0,0,0
1988,64905.9654145201,0,1213.09469896253,0,0,0
1989,35092.0813666043,0,4603.87251709515,0,0,0
1990,80687.2643389712,0,64073.8086673728,0,0,0
1991,196019.302248862,0,140526.102254668,0,0,0
1992,317611.815869579,1018.22603510107,111919.964126593,0,0,0
1993,260032.915920175,0,67205.9445790994,0,0,0
1994,273364.332595656,56.6835867351469,107784.151556967,0,0,0
1995,401692.879273055,0,89024.6936541166,0,0,0
1996,486469.326500804,0,90821.7878641518,0,0,0
1997,833405.61792905,231.254954404325,61019.0401779979,14866.0165423839,311.304746313515,396.468132082722
1998,588804.577381926,2891.71228459633,47397.6300050878,88148.9775732643,183.69531521149,624.981763553485
1999,715192.635150389,1917.57567509872,12321.8525008588,143259.170074199,0,555.437084634862
2000,369340.352330004,170.01674382512,8454.20852789954,135403.202552292,88.5843130388411,1533.17745903957
2001,472442.267766243,76.3294133570563,15101.1045478867,99096.3165247644,2682.27345452586,0
2002,465099.833238361,0,36577.9504640301,90024.8120491233,0,1141.07104606958
2003,498264.248090619,299.780570324452,55881.3830122384,75087.8603619456,2578.37416788275,3541.28039410932
2004,531107.020814328,0,177149.046174848,82524.1962485269,692.954476657033,1380.4943013453
2005,484189.752732558,522.066117485792,166529.749565777,87762.8432430851,1043.95885412316,30358.8312808487
2006,651504.50355265,7986.85777196566,188839.66912218,151696.774109184,9691.11610128285,13495.5087221748
2007,581523.409278089,230.464255558292,121512.331221752,103570.133627467,2001.32252372136,4107.45588548323
2008,166667.09416798,2383.64665928418,39651.338545139,319821.547393291,13722.7299383474,28545.1111450367
2009,213608.20491904,4877.24246942348,13874.9803175211,262247.99413428,12778.5576095609,19249.3983352438
2010,55901.3601739555,1805.50260701991,20182.2298085174,170751.320853128,2243.34607565543,2653.57540419481
2011,99759.2982136096,0,4564.47181073936,276186.023428063,1947.59098961633,2820.7020155022
2012,65409.1998141438,624.276611813104,7697.34933299041,193049.179859768,719.962873689474,11462.5433737767
2013,77989.1435873652,4881.69354353413,11481.2007871113,324961.282240873,6314.5559298934,16226.0797013529
2014,12227.6473439205,1128.92345239661,3611.79776114753,269320.1377414,7949.82232800894,3364.05701060412
2015,63243.7856093006,5520.343236683,8448.72949679369,195166.000987084,9621.40026245309,9332.24217720624
2016,116903.67937625,5400.47700408243,6601.15780320733,299904.741986162,36881.2561965175,6453.40510848185
2017,184247.776699274,14473.2052032758,4597.1620662663,353694.447770433,145530.491385904,5323.76797623125
2018,128463.607947409,15931.4113624539,2991.47333691257,293567.063140297,43095.4436689883,3952.50424243957
2019,158788.196962643,9610.19836163215,15856.1153650916,338369.307700211,15550.2235055181,18104.1306372259
