"","YEAR","Central","East","West"
"1",1981,179403.361269297,76356.7322043789,63442.8736533827
"2",1982,13168.7673965289,0,6490.67849480704
"3",1983,4470.01706931282,0,695.338199228206
"4",1984,0,82405.0536912116,43560.5265617859
"5",1985,924.550268652128,41324.2804867279,204989.952057027
"6",1986,13528.2303797861,11687.6193991099,38582.4975618749
"7",1987,113798.52331361,3103.33840315325,120037.703960147
"8",1988,9132.68539064005,35687.1728449131,529273.296378583
"9",1989,323027.725237764,7021.85430712052,371122.301024051
"10",1990,772204.562309108,21540.3438799883,422257.72114146
"11",1991,1587532.2758827,78277.0151769453,410624.877083026
"12",1992,1315576.96625776,80073.0897295893,450630.118722056
"13",1993,1657181.79440065,29725.7776643733,528829.309342682
"14",1994,940421.511021996,38863.9225537097,1213187.39406523
"15",1995,226084.13639467,13967.4623756842,1942649.59345247
"16",1996,1014854.17467042,35811.0918144209,413057.787975903
"17",1997,2268032.08024132,25990.345007124,488430.028388348
"18",1998,1112841.51678856,65605.0630572158,791668.300018236
"19",1999,2683990.05576207,49858.9014724652,2037390.71949611
"20",2000,2562345.70330543,67724.2508762181,725964.186128466
"21",2001,4372757.03484398,5729.33849924274,514604.388687962
"22",2002,6425866.35474043,6873.98696234674,787611.117427826
"23",2003,4349157.99472714,4988.84437390666,1752181.28602366
"24",2004,4505054.52472363,92594.0331714159,3186928.6891033
"25",2005,4028054.66192771,129179.657745578,2024526.20284178
"26",2006,4173109.28450278,55316.446772975,2240382.7552726
"27",2007,5695975.84752065,43270.4650166399,1070211.67567181
"28",2008,4356132.14237859,40481.046289608,1607618.58963287
"29",2009,3836628.03779627,102834.927704095,1125424.15329895
"30",2010,4425910.42101202,129467.776759701,1052869.21486259
"31",2011,3729515.54930017,1500578.31234785,1335234.29828272
"32",2012,3971311.51291325,14288.3316421438,689975.740809222
"33",2013,4871389.70927776,8515.89636910196,1836243.40494274
"34",2014,3864994.10656977,49385.3330960765,625385.082614072
"35",2015,3157762.7556291,24001.193621895,753131.996531676
"36",2016,5482595.14401322,708160.738072656,118856.761564828
"37",2017,8266634.35668102,260726.81322123,320399.519195372
"38",2018,5025444.22327518,647039.477736988,380820.989858021
"39",2019,5764684.43720403,395151.781680624,844184.09615764
