"YEAR","FedPriv_Open_Central","FedPriv_Open_East","FedPriv_Open_West","FedPriv_Closed_Central","FedPriv_Closed_East","FedPriv_Closed_West"
1981,179403.361269297,76356.7322043789,23484.830028261,0,0,0
1982,13168.7673965289,0,4082.91132383226,0,0,0
1983,4470.01706931282,0,627.574984872759,0,0,0
1984,0,82405.0536912116,43560.5265617859,0,0,0
1985,924.550268652128,41324.2804867279,204989.952057027,0,0,0
1986,13528.2303797861,11687.6193991099,38582.4975618749,0,0,0
1987,113798.52331361,3103.33840315325,120037.703960147,0,0,0
1988,9132.68539064005,35687.1728449131,529273.296378583,0,0,0
1989,323027.725237764,7021.85430712052,371122.301024051,0,0,0
1990,772204.562309108,21540.3438799883,422257.72114146,0,0,0
1991,1587532.2758827,78277.0151769453,410624.877083026,0,0,0
1992,1315576.96625776,80073.0897295893,450630.118722056,0,0,0
1993,1657181.79440065,29725.7776643733,528829.309342682,0,0,0
1994,940421.511021996,38863.9225537097,1213187.39406523,0,0,0
1995,226084.13639467,13967.4623756842,1942649.59345247,0,0,0
1996,1014854.17467042,35811.0918144209,413057.787975903,0,0,0
1997,2024065.2310273,25990.345007124,482627.172589473,243966.849214025,0,5802.85579887468
1998,831317.522155852,12660.4482599773,739975.438172852,281523.994632707,52944.6147972385,51692.8618453836
1999,2312349.70233219,26439.8568613581,2006894.89178386,371640.353429883,23419.0446111072,30495.8277122464
2000,1316588.01881379,66168.5803008572,547257.270499329,1245757.68449164,1555.67057536096,178706.915629136
2001,1673859.22830553,5729.33849924274,458869.443330013,2698897.80653845,0,55734.9453579492
2002,3289215.51547478,6873.98696234674,723429.413059981,3136650.83926565,0,64181.704367845
2003,2425088.63201448,2069.0291061486,1413721.50826224,1924069.36271266,2919.81526775806,338459.777761422
2004,3415205.82335428,25300.999794875,2967126.66545396,1089848.70136935,67293.0333765409,219802.023649347
2005,2388489.4180246,92921.4985346162,1880348.8735781,1639565.24390311,36258.1592109615,144177.329263682
2006,2892932.26029718,30938.3249501233,2060151.70088998,1280177.0242056,24378.1218228517,180231.054382625
2007,4146942.702509,43270.4650166399,916910.048607594,1549033.14501165,0,153301.627064215
2008,929749.682325074,4081.00074930902,1193048.10211702,3426382.46005351,36400.045540299,414570.487515849
2009,1497497.06843978,51470.6483449408,795670.351705058,2339130.96935649,51364.2793591544,329753.801593893
2010,1024478.88516938,24247.0196202472,721046.443711662,3401431.53584264,105220.757139454,331822.771150928
2011,881732.851799465,8013.54978961388,900650.426888716,2847782.69750071,1492564.76255824,434583.871394005
2012,684465.601830525,3687.31139152098,459849.488365826,3286845.91108272,10601.0202506228,230126.252443396
2013,770843.946406329,3025.698505246,297267.520610295,1514131.86850671,5490.19786385596,545272.218308307
2014,120990.231475837,6504.01043411216,13251.268046037,1816167.37541317,42881.3226619644,87796.6719236698
2015,678716.211249472,3795.59843616648,94630.8677014254,1222530.48290528,20205.5951857285,143825.045482599
2016,899567.514301589,23454.0436740005,16554.1510191097,2710404.44942227,657413.318973577,19683.3159364751
